model,resnet18
batch_size,80
epochs,200
learning_rate,0.1
data_augmentation,True
seed,4
alphakd,0.7
T,10
name,BLKD
resume,False
""
epoch,train_acc,val_acc
0,0.1261,0.2099
1,0.25906,0.3023
2,0.3689,0.3751
3,0.43608,0.4065
4,0.4797,0.4218
5,0.51422,0.4756
6,0.53176,0.4578
7,0.55082,0.4901
8,0.5662,0.5142
9,0.57896,0.5219
10,0.58736,0.5121
11,0.59146,0.5324
12,0.60156,0.5238
13,0.6082,0.5181
14,0.61306,0.5375
15,0.6182,0.5288
16,0.62154,0.5496
17,0.62918,0.5368
18,0.6319,0.5327
19,0.63188,0.5353
20,0.6355,0.5547
21,0.63734,0.548
22,0.64176,0.5373
23,0.64408,0.5238
24,0.64394,0.5631
25,0.64562,0.555
26,0.64826,0.5507
27,0.64906,0.5346
28,0.65162,0.5551
29,0.65234,0.5263
30,0.65358,0.5409
31,0.65484,0.5233
32,0.65908,0.5386
33,0.65566,0.5409
34,0.65588,0.5505
35,0.65978,0.5492
36,0.66108,0.5276
37,0.6647,0.5398
38,0.66056,0.5307
39,0.6645,0.549
40,0.6636,0.5799
41,0.66428,0.5469
42,0.6663,0.5097
43,0.66484,0.5683
44,0.66352,0.5594
45,0.66614,0.5635
46,0.66658,0.5551
47,0.66866,0.5795
48,0.66424,0.5549
49,0.66882,0.5613
50,0.7916,0.712
51,0.8383,0.7123
52,0.86478,0.7093
53,0.88082,0.7077
54,0.89432,0.7037
55,0.9028,0.6984
56,0.90452,0.6804
57,0.906,0.6903
58,0.9045,0.6765
59,0.90214,0.6849
60,0.90398,0.677
61,0.90432,0.6693
62,0.90438,0.6609
63,0.90442,0.6731
64,0.90978,0.6832
65,0.91094,0.6694
66,0.91056,0.6605
67,0.91348,0.6727
68,0.91182,0.6609
69,0.91376,0.6749
70,0.91778,0.6614
71,0.91788,0.6654
72,0.91352,0.6659
73,0.92174,0.6594
74,0.92216,0.6602
75,0.92192,0.6655
76,0.92654,0.6637
77,0.92272,0.6725
78,0.92574,0.6771
79,0.92668,0.6647
80,0.93008,0.669
81,0.92798,0.6788
82,0.92626,0.6553
83,0.92688,0.677
84,0.92986,0.662
85,0.9304,0.661
86,0.92814,0.67
87,0.92988,0.6723
88,0.9285,0.6576
89,0.92888,0.6652
90,0.93042,0.6658
91,0.93024,0.6674
92,0.93126,0.6656
93,0.93242,0.6703
94,0.9305,0.6765
95,0.93326,0.6698
96,0.93074,0.6731
97,0.93482,0.6731
98,0.93202,0.657
99,0.9316,0.6694
100,0.97298,0.7463
101,0.98998,0.7534
102,0.99504,0.7573
103,0.99664,0.7598
104,0.99778,0.759
105,0.99838,0.7621
106,0.99882,0.7622
