model,mobilenetv2
batch_size,40
epochs,300
learning_rate,0.1
data_augmentation,True
seed,1
alphakd,0.7
T,10
name,BLKD
resume,False
""
epoch,train_acc,val_acc
0,0.07808,0.1182
1,0.1324,0.1297
2,0.1725,0.14
3,0.20096,0.1714
4,0.21608,0.173
5,0.23016,0.2108
6,0.2404,0.1973
7,0.24938,0.2198
8,0.25636,0.2038
9,0.25834,0.2248
10,0.26324,0.2397
11,0.26716,0.2292
12,0.26638,0.2487
13,0.26616,0.2188
14,0.2681,0.2307
15,0.26506,0.2237
16,0.26746,0.2412
17,0.26746,0.1979
18,0.26362,0.2175
19,0.26152,0.2363
20,0.26126,0.2173
21,0.25874,0.1823
22,0.25968,0.2272
23,0.25904,0.2079
24,0.2589,0.2495
25,0.25858,0.23
26,0.25818,0.2159
27,0.25862,0.1984
28,0.25682,0.2587
29,0.25548,0.2148
30,0.2553,0.1598
31,0.25654,0.2305
32,0.25834,0.2217
33,0.25604,0.2238
34,0.25556,0.2502
35,0.2522,0.1742
36,0.25384,0.2257
37,0.25224,0.2506
38,0.24834,0.2008
39,0.24338,0.2355
40,0.24708,0.0886
41,0.24566,0.2078
42,0.24444,0.1566
43,0.24548,0.2169
44,0.24454,0.1884
45,0.24512,0.1623
46,0.24532,0.1991
47,0.24782,0.1987
48,0.24602,0.1796
49,0.24478,0.1285
50,0.34478,0.3498
51,0.35832,0.3552
52,0.36128,0.3442
53,0.3585,0.339
54,0.35794,0.3115
55,0.35946,0.3405
56,0.35954,0.3133
57,0.36008,0.3477
58,0.36272,0.3497
59,0.36214,0.3209
60,0.3638,0.3398
61,0.36366,0.3655
62,0.36572,0.3385
63,0.36486,0.3623
64,0.3693,0.3495
65,0.37068,0.3419
66,0.36892,0.3291
67,0.37286,0.3508
68,0.37364,0.357
69,0.37486,0.3542
70,0.37722,0.3508
71,0.37366,0.3651
72,0.37744,0.3692
73,0.37828,0.3553
74,0.37956,0.3413
75,0.3836,0.3422
76,0.38198,0.383
77,0.38132,0.3638
78,0.38044,0.3666
79,0.37996,0.3334
