model,resnet18
batch_size,160
epochs,300
learning_rate,0.0001
data_augmentation,True
seed,1
alphakd,0.7
T,10
name,BLKD
resume,False
""
epoch,train_acc,val_acc
0,0.01524,0.0259
1,0.02886,0.0376
2,0.03852,0.0502
3,0.05018,0.0615
4,0.05914,0.0671
5,0.06644,0.0708
6,0.07028,0.0766
7,0.0742,0.0789
8,0.07938,0.0836
9,0.08432,0.0884
10,0.08958,0.0938
11,0.09512,0.0991
12,0.10016,0.104
13,0.10552,0.1098
14,0.10848,0.1127
15,0.1126,0.1152
16,0.11502,0.118
17,0.11894,0.1203
18,0.1225,0.1236
19,0.1256,0.1257
20,0.12852,0.1288
21,0.1304,0.1319
22,0.1327,0.1351
23,0.13378,0.1382
24,0.13758,0.1414
25,0.13838,0.1419
26,0.14118,0.1441
27,0.14362,0.1445
28,0.14554,0.1475
29,0.1485,0.1495
30,0.14902,0.1523
31,0.1506,0.1556
32,0.15406,0.1564
33,0.15624,0.1596
34,0.15792,0.1621
35,0.15956,0.1653
36,0.16356,0.1659
37,0.16444,0.1686
38,0.1671,0.1703
39,0.16786,0.1719
40,0.17212,0.1736
41,0.17186,0.1748
42,0.17398,0.1778
43,0.17744,0.1791
44,0.17962,0.1818
45,0.18138,0.1838
46,0.18338,0.1843
47,0.1853,0.1869
48,0.1883,0.1878
49,0.19026,0.1901
50,0.1918,0.1905
51,0.19176,0.1918
52,0.19278,0.1925
53,0.19376,0.1926
54,0.19402,0.1929
55,0.19392,0.1928
56,0.19454,0.1933
57,0.19432,0.1944
58,0.19526,0.1941
59,0.19556,0.1943
60,0.19632,0.1955
61,0.19612,0.1954
62,0.19782,0.1949
63,0.1981,0.1965
64,0.19802,0.1969
65,0.19764,0.1966
66,0.19766,0.1966
67,0.19932,0.1985
68,0.1998,0.1979
69,0.2003,0.1982
70,0.20074,0.1987
71,0.20222,0.1994
72,0.20208,0.2
73,0.20244,0.2001
74,0.2033,0.2007
75,0.20364,0.2016
76,0.20444,0.202
77,0.20418,0.2026
78,0.20406,0.2036
79,0.20322,0.2027
80,0.20414,0.2035
81,0.20592,0.2044
82,0.20808,0.2043
83,0.2071,0.2051
84,0.20754,0.2054
85,0.20708,0.206
86,0.20798,0.2057
87,0.20858,0.2066
88,0.20928,0.2066
89,0.21086,0.2074
90,0.20898,0.2075
91,0.20958,0.208
92,0.21144,0.2089
93,0.2113,0.2091
94,0.212,0.2086
95,0.21246,0.2103
96,0.2123,0.2107
97,0.21382,0.2114
98,0.21462,0.2121
99,0.21306,0.2122
100,0.21378,0.2128
101,0.216,0.2125
102,0.21618,0.2121
103,0.21572,0.2136
104,0.21704,0.2133
105,0.2152,0.2136
106,0.21564,0.214
107,0.21486,0.2138
108,0.21456,0.2137
109,0.21598,0.2136
110,0.21636,0.2141
111,0.21602,0.2136
112,0.21708,0.2134
113,0.2169,0.2145
114,0.21598,0.2143
115,0.21492,0.215
116,0.2174,0.2151
117,0.21686,0.2147
118,0.2159,0.2149
119,0.21704,0.2152
120,0.21724,0.2158
121,0.21712,0.2154
122,0.2177,0.2153
123,0.21674,0.2155
124,0.21668,0.2156
125,0.2186,0.2159
126,0.21766,0.2158
127,0.2172,0.2159
128,0.21746,0.2162
129,0.2171,0.2167
130,0.21776,0.2168
131,0.21968,0.2166
132,0.21622,0.2171
133,0.2173,0.2166
134,0.21718,0.2167
135,0.21872,0.217
136,0.21756,0.2168
137,0.21806,0.2174
138,0.2175,0.2169
139,0.2205,0.217
140,0.2192,0.2171
141,0.22014,0.2171
142,0.21834,0.218
143,0.21956,0.2175
144,0.219,0.2185
145,0.2196,0.2177
146,0.21968,0.2183
147,0.21958,0.2178
148,0.21876,0.2175
149,0.2198,0.2177
150,0.21872,0.2185
151,0.21994,0.2174
152,0.22078,0.2181
153,0.21996,0.2185
154,0.22122,0.2179
155,0.2188,0.2185
156,0.21818,0.2182
157,0.21934,0.218
158,0.21958,0.2187
159,0.22114,0.2185
160,0.2199,0.2184
161,0.22036,0.218
162,0.21972,0.2185
163,0.21992,0.2176
164,0.2221,0.2186
165,0.22068,0.2183
166,0.2204,0.2183
167,0.22026,0.2185
168,0.2201,0.2185
169,0.2229,0.2186
170,0.22006,0.2191
171,0.2192,0.2182
172,0.22186,0.2184
173,0.22054,0.2191
174,0.21962,0.2182
175,0.2195,0.2183
176,0.21926,0.2188
177,0.2215,0.2186
178,0.21984,0.2199
179,0.21938,0.2188
180,0.22112,0.2189
181,0.22082,0.2191
182,0.2226,0.2184
183,0.22136,0.2182
184,0.22072,0.2184
185,0.2199,0.2183
186,0.22118,0.2184
187,0.21986,0.2186
188,0.22214,0.2191
189,0.21958,0.2184
190,0.21922,0.2188
191,0.22272,0.2191
192,0.22124,0.2183
193,0.22154,0.2188
194,0.22104,0.2189
195,0.21974,0.2189
196,0.2198,0.2176
197,0.22116,0.2183
198,0.22064,0.2193
199,0.21992,0.219
200,0.22148,0.219
201,0.22264,0.2189
202,0.22096,0.2187
203,0.22234,0.2196
204,0.22104,0.2184
205,0.22098,0.2189
206,0.22162,0.2191
207,0.22202,0.2193
208,0.21822,0.2187
209,0.22046,0.2189
210,0.22014,0.2189
211,0.2207,0.2191
212,0.22206,0.219
213,0.22262,0.2194
214,0.22066,0.2191
215,0.22192,0.2188
216,0.22146,0.219
217,0.22232,0.2195
218,0.22226,0.2186
219,0.22104,0.2185
220,0.22022,0.2191
221,0.21956,0.218
222,0.22022,0.2191
223,0.22166,0.2185
224,0.22142,0.2186
225,0.22204,0.2194
226,0.22172,0.2188
227,0.22242,0.2192
228,0.22154,0.2185
229,0.22086,0.2189
230,0.2209,0.219
231,0.2204,0.2185
232,0.22072,0.2187
233,0.22174,0.2187
234,0.22108,0.2195
235,0.22106,0.2193
236,0.22146,0.2187
237,0.22154,0.2191
238,0.22124,0.2191
239,0.22324,0.2191
240,0.22106,0.2196
241,0.2196,0.2195
242,0.22048,0.2189
243,0.2208,0.2187
244,0.22188,0.2189
245,0.22294,0.2191
246,0.22146,0.219
247,0.2233,0.2203
248,0.2212,0.2188
249,0.2213,0.2195
250,0.22242,0.2194
251,0.2209,0.2203
252,0.22396,0.2186
253,0.22064,0.22
254,0.22194,0.219
255,0.22046,0.22
256,0.22034,0.2203
257,0.22264,0.2188
258,0.22356,0.2196
259,0.222,0.2199
260,0.22284,0.2195
261,0.22114,0.2195
262,0.2212,0.2191
263,0.22222,0.219
264,0.22136,0.2193
265,0.2226,0.2194
266,0.22152,0.2196
267,0.22152,0.2192
268,0.2203,0.2192
269,0.22246,0.2195
270,0.22192,0.2199
271,0.22172,0.2198
272,0.22152,0.219
273,0.22146,0.22
274,0.22228,0.2194
275,0.22246,0.2202
276,0.2214,0.2199
277,0.22136,0.2201
278,0.22304,0.2196
279,0.22148,0.2192
280,0.22096,0.22
281,0.22196,0.2195
282,0.22286,0.2193
283,0.22172,0.2205
284,0.22274,0.2204
285,0.22256,0.2198
286,0.22106,0.2202
287,0.22408,0.2199
288,0.22186,0.2198
289,0.22178,0.2199
290,0.22206,0.2198
291,0.223,0.2202
292,0.2216,0.2199
293,0.22284,0.2201
294,0.22286,0.2201
295,0.2226,0.2199
296,0.22292,0.219
297,0.22262,0.2201
298,0.22088,0.2202
299,0.2233,0.22
