model,resnet18
batch_size,160
epochs,300
learning_rate,0.1
data_augmentation,True
seed,1
alphakd,0.7
T,10
name,BLKD
resume,False
""
epoch,train_acc,val_acc
0,0.14354,0.1982
1,0.28872,0.3069
2,0.39758,0.3604
3,0.46768,0.4214
4,0.5192,0.4379
5,0.55718,0.4764
6,0.58472,0.5163
7,0.6085,0.5048
8,0.63008,0.5189
9,0.644,0.5609
10,0.6567,0.5132
11,0.6694,0.5164
12,0.67756,0.529
13,0.68706,0.5463
14,0.6935,0.5606
15,0.70186,0.5214
16,0.70888,0.5271
17,0.71516,0.5313
18,0.72324,0.5497
19,0.72472,0.5792
20,0.73302,0.5632
21,0.73498,0.5964
22,0.74076,0.5273
23,0.74118,0.5846
24,0.7481,0.6005
25,0.74852,0.5348
26,0.75532,0.5613
27,0.75698,0.5308
28,0.75748,0.5291
29,0.761,0.5501
30,0.76266,0.5825
31,0.76504,0.5705
32,0.76636,0.5889
33,0.77044,0.5916
34,0.77112,0.5618
35,0.77394,0.5539
36,0.77568,0.5881
37,0.7765,0.5396
38,0.77778,0.578
39,0.78108,0.606
40,0.77944,0.6112
41,0.78158,0.6008
42,0.78392,0.603
43,0.78492,0.5485
44,0.7892,0.592
45,0.78522,0.5505
46,0.7879,0.5712
47,0.78976,0.6104
48,0.79038,0.602
49,0.79058,0.5729
50,0.8821,0.7167
51,0.92682,0.7311
52,0.94654,0.7319
53,0.96008,0.7298
54,0.96874,0.729
55,0.97654,0.7345
56,0.9811,0.7325
57,0.98474,0.7306
58,0.98874,0.7353
59,0.98882,0.737
60,0.99028,0.7328
61,0.99124,0.7399
62,0.99088,0.741
63,0.9924,0.7314
64,0.99216,0.7347
65,0.9924,0.7254
66,0.9896,0.7288
67,0.98828,0.7177
68,0.98786,0.715
69,0.98032,0.7111
70,0.97736,0.6944
71,0.9686,0.7037
72,0.96704,0.6837
73,0.96066,0.6821
74,0.96132,0.6768
75,0.96098,0.6929
76,0.96314,0.6784
77,0.96238,0.6943
78,0.967,0.683
79,0.96778,0.6913
80,0.96578,0.6795
81,0.97,0.688
82,0.96804,0.6872
83,0.9692,0.7055
84,0.97096,0.6874
85,0.96906,0.6923
86,0.96714,0.6843
87,0.97026,0.6938
88,0.9681,0.675
89,0.96874,0.689
90,0.96818,0.6771
91,0.96698,0.6786
92,0.971,0.6824
93,0.97152,0.6835
94,0.97164,0.6926
95,0.9677,0.6946
96,0.97114,0.6851
97,0.96868,0.6708
98,0.97026,0.6707
99,0.97054,0.6859
100,0.98788,0.7527
101,0.9966,0.758
102,0.99858,0.7578
103,0.99874,0.7585
104,0.99904,0.7606
105,0.99946,0.7623
106,0.99952,0.7614
107,0.99944,0.7632
108,0.9996,0.7643
109,0.99972,0.7642
110,0.99974,0.7654
111,0.9996,0.7658
112,0.99984,0.7667
113,0.99972,0.7677
114,0.9998,0.7662
115,0.9999,0.7683
116,0.99982,0.7667
117,0.99986,0.7687
118,0.99988,0.7691
119,0.99982,0.7682
120,0.99984,0.7684
121,0.9999,0.7675
122,0.9999,0.7693
123,0.99994,0.7678
124,0.99984,0.7683
125,0.99984,0.7674
126,0.99994,0.7682
127,0.99996,0.7683
128,0.99994,0.769
129,0.99988,0.7687
130,0.99994,0.7693
131,0.99998,0.7687
132,0.99994,0.7694
133,0.99998,0.7693
134,0.99998,0.7702
135,0.99994,0.7692
136,1.0,0.7712
137,0.99998,0.7707
138,0.99992,0.7716
139,0.99986,0.7697
140,0.99998,0.7726
141,0.99998,0.7732
142,1.0,0.772
143,1.0,0.7708
144,0.99996,0.7722
145,0.99998,0.774
146,0.99992,0.7704
147,0.99996,0.7715
148,0.99998,0.7736
149,1.0,0.7724
150,0.99996,0.7721
151,1.0,0.7721
152,1.0,0.7726
153,0.99998,0.7732
154,1.0,0.7738
155,1.0,0.7734
156,1.0,0.7725
157,1.0,0.7723
158,1.0,0.7714
159,1.0,0.7717
160,1.0,0.7729
161,0.99998,0.7732
162,0.99996,0.773
163,0.99996,0.7733
164,0.99998,0.7727
165,0.99998,0.7718
166,1.0,0.7729
167,1.0,0.7726
168,1.0,0.7726
169,1.0,0.7728
170,1.0,0.773
171,1.0,0.772
172,1.0,0.7732
173,1.0,0.7741
174,1.0,0.7731
175,1.0,0.7728
176,0.99998,0.7742
177,1.0,0.7725
178,1.0,0.7736
179,1.0,0.7734
180,1.0,0.7739
181,0.99998,0.773
182,1.0,0.7734
183,1.0,0.7738
184,1.0,0.7743
185,1.0,0.7739
186,1.0,0.774
187,1.0,0.7732
188,1.0,0.7739
189,1.0,0.7735
190,1.0,0.7728
191,1.0,0.7741
192,1.0,0.7731
193,1.0,0.7731
194,1.0,0.773
195,1.0,0.7726
196,1.0,0.7733
197,1.0,0.7733
198,1.0,0.7732
199,1.0,0.7736
200,1.0,0.7733
201,1.0,0.7734
202,1.0,0.7732
203,1.0,0.7731
204,1.0,0.773
205,1.0,0.7719
206,1.0,0.7727
207,1.0,0.7734
208,1.0,0.773
209,1.0,0.7733
210,1.0,0.7734
211,1.0,0.7735
212,1.0,0.7732
213,1.0,0.7739
214,1.0,0.7736
215,1.0,0.7728
216,1.0,0.7734
217,1.0,0.773
218,1.0,0.7721
219,1.0,0.7722
220,1.0,0.7731
221,1.0,0.7735
222,1.0,0.773
