model,resnet18
batch_size,80
epochs,200
learning_rate,0.1
data_augmentation,True
seed,1
alphakd,0.7
T,10
name,BLKD
resume,False
""
epoch,train_acc,val_acc
0,0.1257,0.1777
1,0.26558,0.2991
2,0.36526,0.3645
3,0.43398,0.4236
4,0.47632,0.4154
5,0.50646,0.4568
6,0.53054,0.4735
7,0.5471,0.4741
8,0.56566,0.4816
9,0.57358,0.4804
10,0.5824,0.5014
11,0.59186,0.5015
12,0.59946,0.5003
13,0.60648,0.5254
14,0.61226,0.5012
15,0.61574,0.5013
16,0.62046,0.5355
17,0.6272,0.5264
18,0.62872,0.5414
19,0.63488,0.5159
20,0.63558,0.516
21,0.63624,0.5319
22,0.63804,0.5485
23,0.6438,0.5219
24,0.64568,0.5416
25,0.6456,0.5335
26,0.64786,0.5244
27,0.65112,0.532
28,0.65126,0.5263
29,0.65344,0.5511
30,0.65428,0.5562
31,0.65334,0.5524
32,0.65572,0.5355
33,0.65586,0.5458
34,0.65914,0.523
35,0.6579,0.5374
36,0.65992,0.5325
37,0.65972,0.5298
38,0.6615,0.5297
39,0.6624,0.5495
40,0.66118,0.519
41,0.66584,0.5317
42,0.66288,0.552
43,0.66228,0.5783
44,0.66818,0.5212
45,0.66514,0.5458
46,0.66688,0.5828
47,0.66602,0.5674
48,0.66876,0.5408
49,0.66708,0.5499
50,0.79192,0.714
51,0.83944,0.7178
52,0.86448,0.7177
53,0.88088,0.7156
54,0.89188,0.713
55,0.90066,0.7047
56,0.90428,0.6905
57,0.90432,0.6888
58,0.90408,0.6843
59,0.90274,0.6859
60,0.90106,0.6769
61,0.90564,0.6779
62,0.90448,0.6698
63,0.90438,0.665
64,0.9062,0.6708
65,0.91056,0.6646
66,0.91226,0.656
67,0.91126,0.672
68,0.91412,0.6639
69,0.9191,0.6797
70,0.92064,0.6654
71,0.9172,0.6767
72,0.92192,0.6668
73,0.92102,0.67
74,0.91954,0.677
75,0.92184,0.6627
76,0.9242,0.6755
77,0.92394,0.6732
78,0.92168,0.678
79,0.92854,0.6503
80,0.92674,0.67
81,0.92934,0.6721
82,0.92688,0.6764
83,0.93012,0.6688
84,0.9273,0.6699
85,0.93186,0.6629
86,0.92904,0.6558
87,0.93324,0.6618
88,0.92924,0.6709
89,0.93238,0.668
90,0.92802,0.6489
91,0.92648,0.6737
92,0.92998,0.6603
93,0.93602,0.6809
94,0.93026,0.6635
95,0.9302,0.664
96,0.93012,0.6725
97,0.93138,0.6665
98,0.93174,0.6712
99,0.93406,0.6665
100,0.97358,0.7434
101,0.99042,0.75
102,0.99442,0.7565
103,0.9963,0.756
104,0.99746,0.7586
105,0.99814,0.7607
106,0.99892,0.7569
107,0.99912,0.7602
108,0.99922,0.7599
