model,resnet101
batch_size,80
epochs,200
learning_rate,0.1
data_augmentation,True
seed,0
alphakd,0.7
T,10
name,BLKD
resume,False
""
epoch,train_acc,val_acc
0,0.05818,0.1078
1,0.13066,0.1731
2,0.19448,0.2296
3,0.25596,0.2981
4,0.31854,0.3489
5,0.37316,0.3928
6,0.41332,0.41
7,0.44344,0.4388
8,0.46322,0.3872
9,0.48342,0.4199
10,0.49324,0.4053
11,0.5057,0.435
12,0.51698,0.4538
13,0.52472,0.4701
14,0.53078,0.4519
15,0.53864,0.4677
16,0.54508,0.4163
17,0.54982,0.4855
18,0.5576,0.4686
19,0.56014,0.4744
20,0.56474,0.4841
21,0.56814,0.4844
22,0.57178,0.5116
23,0.57886,0.4831
24,0.57856,0.5095
25,0.5833,0.4856
26,0.58608,0.5155
27,0.58528,0.5026
28,0.5881,0.4905
29,0.59184,0.5006
30,0.5951,0.4788
31,0.59492,0.5128
32,0.59682,0.4985
33,0.5982,0.5327
34,0.60088,0.4941
35,0.60056,0.4737
36,0.60204,0.4961
37,0.60396,0.4868
38,0.60514,0.5214
39,0.60672,0.5248
40,0.61196,0.517
41,0.60572,0.5126
42,0.61106,0.5284
43,0.60942,0.4299
44,0.61014,0.5169
45,0.61226,0.5095
46,0.61424,0.515
47,0.61142,0.4902
