model,mobilenetv2
batch_size,200
epochs,300
learning_rate,0.01
data_augmentation,True
seed,1
alphakd,0.7
T,10
name,BLKD
resume,False
""
epoch,train_acc,val_acc
0,0.02606,0.046
1,0.07712,0.0931
2,0.1147,0.1304
3,0.14616,0.1615
4,0.17604,0.1843
5,0.20104,0.21
6,0.22536,0.2405
7,0.2485,0.2529
8,0.2704,0.2788
9,0.29228,0.3009
10,0.31032,0.3077
11,0.32704,0.3206
12,0.34416,0.3333
13,0.36266,0.3483
14,0.37662,0.361
15,0.39466,0.3609
16,0.40646,0.3812
17,0.4215,0.3936
18,0.43338,0.3996
19,0.44592,0.4124
20,0.45978,0.4208
21,0.4702,0.4334
22,0.48458,0.4309
23,0.49166,0.4265
24,0.50162,0.4457
25,0.51404,0.4504
26,0.52286,0.4627
27,0.53334,0.4658
28,0.54548,0.4693
29,0.55154,0.4804
30,0.55976,0.4838
31,0.57062,0.4856
32,0.58304,0.4842
33,0.58592,0.4969
34,0.59328,0.4885
35,0.60368,0.4983
36,0.61068,0.4993
37,0.61846,0.5083
38,0.62648,0.5092
39,0.63432,0.5119
40,0.63994,0.5005
41,0.64648,0.5168
42,0.65774,0.5163
43,0.66392,0.5163
44,0.67192,0.5168
45,0.67542,0.5124
46,0.68302,0.5206
47,0.69066,0.5198
48,0.69598,0.5213
49,0.70428,0.5143
50,0.7494,0.5662
51,0.7726,0.5689
52,0.78468,0.568
53,0.79394,0.5672
54,0.79792,0.5689
55,0.8023,0.5687
56,0.81098,0.5676
57,0.81604,0.5673
58,0.82022,0.57
59,0.82628,0.5672
60,0.82702,0.5703
61,0.83204,0.569
62,0.83716,0.5663
63,0.84134,0.5711
64,0.8444,0.5668
65,0.84958,0.5697
66,0.85092,0.566
67,0.85346,0.5644
68,0.859,0.5685
69,0.8611,0.5676
70,0.86648,0.5601
71,0.87048,0.5657
72,0.87176,0.5624
73,0.87612,0.5637
74,0.8794,0.5611
75,0.88332,0.5616
76,0.88488,0.5609
77,0.88814,0.5617
78,0.8926,0.5665
79,0.89538,0.5625
80,0.89826,0.5627
81,0.90238,0.5636
82,0.9037,0.5633
83,0.90648,0.5631
84,0.91002,0.566
85,0.91404,0.5651
86,0.91602,0.563
87,0.91774,0.559
88,0.92046,0.5631
89,0.92478,0.5616
90,0.92398,0.5567
91,0.92814,0.5602
92,0.9282,0.5632
93,0.93014,0.5576
94,0.93422,0.5594
95,0.93556,0.5603
96,0.9385,0.558
97,0.93996,0.559
98,0.94228,0.558
99,0.94378,0.5619
100,0.95166,0.5779
101,0.95888,0.5769
102,0.96104,0.5751
103,0.9648,0.5761
104,0.96594,0.576
105,0.96562,0.5765
106,0.96762,0.5756
107,0.96844,0.5752
108,0.96916,0.5768
109,0.9686,0.5754
110,0.97106,0.5738
111,0.97114,0.5733
112,0.97104,0.5739
113,0.97138,0.5755
114,0.97334,0.5771
115,0.97254,0.5753
116,0.97426,0.5766
117,0.97488,0.5772
118,0.97652,0.5769
119,0.97562,0.5789
120,0.97618,0.5796
121,0.97678,0.5756
122,0.9775,0.5776
123,0.9761,0.5786
124,0.97732,0.578
125,0.97754,0.579
126,0.97898,0.5804
127,0.9783,0.5769
128,0.9792,0.5773
129,0.9797,0.5802
130,0.9796,0.5771
131,0.97988,0.5782
132,0.98002,0.5788
133,0.9802,0.5778
134,0.98126,0.5783
135,0.9815,0.579
136,0.98072,0.5785
137,0.98116,0.5787
138,0.9829,0.5783
139,0.98242,0.5766
140,0.98308,0.578
141,0.98288,0.5796
142,0.9834,0.5799
143,0.982,0.5781
144,0.9826,0.578
145,0.98342,0.577
146,0.9841,0.5767
147,0.9843,0.5784
148,0.98436,0.5781
149,0.9847,0.5767
150,0.98404,0.5793
151,0.98646,0.5801
152,0.98588,0.5817
153,0.98602,0.5805
154,0.986,0.581
155,0.98612,0.5794
156,0.98674,0.5808
157,0.98662,0.5796
158,0.9876,0.5818
159,0.98706,0.581
160,0.98706,0.5822
161,0.98644,0.5811
162,0.98678,0.5815
163,0.9871,0.5824
164,0.98752,0.5796
165,0.98766,0.5825
166,0.9873,0.5819
167,0.98804,0.5813
168,0.98728,0.5809
169,0.98688,0.5824
170,0.98752,0.5822
171,0.98858,0.5821
172,0.98776,0.5815
173,0.98808,0.5808
174,0.98804,0.5812
175,0.98826,0.5819
176,0.98826,0.5814
177,0.98854,0.5811
178,0.98758,0.5812
179,0.98786,0.5817
180,0.98808,0.584
181,0.9873,0.5814
182,0.98824,0.5812
183,0.9889,0.5817
184,0.98912,0.5825
185,0.98772,0.5809
186,0.98808,0.5825
187,0.98936,0.579
188,0.98814,0.5826
189,0.98812,0.5819
190,0.98874,0.5795
191,0.98912,0.5795
192,0.9882,0.5808
193,0.98862,0.5804
194,0.98936,0.5804
195,0.98878,0.5813
196,0.98808,0.58
197,0.98904,0.5812
198,0.98906,0.5819
199,0.9896,0.5815
200,0.98868,0.5809
201,0.98944,0.5823
202,0.9891,0.5815
203,0.98876,0.5818
204,0.98856,0.5816
205,0.98944,0.581
206,0.98958,0.5802
207,0.99012,0.5809
208,0.98976,0.5811
209,0.98958,0.5801
210,0.98892,0.5814
211,0.9896,0.5803
212,0.98916,0.5809
213,0.98894,0.582
214,0.9899,0.5811
215,0.99008,0.5808
216,0.9895,0.5827
217,0.99036,0.5812
218,0.98974,0.5816
219,0.98996,0.581
220,0.98976,0.5813
221,0.98968,0.5807
222,0.99052,0.5825
223,0.98938,0.5816
224,0.98954,0.5805
225,0.98938,0.5812
226,0.98936,0.581
227,0.98942,0.5806
228,0.98974,0.5807
229,0.99002,0.5801
230,0.99052,0.5802
231,0.98978,0.5802
232,0.99042,0.5814
233,0.9902,0.5818
234,0.98932,0.5806
235,0.9902,0.5807
236,0.99086,0.5816
237,0.99008,0.5819
238,0.99012,0.5814
239,0.9901,0.5811
240,0.9901,0.5814
241,0.99004,0.5815
242,0.99066,0.582
243,0.99092,0.5814
244,0.99118,0.5819
245,0.99066,0.5809
246,0.9909,0.5812
247,0.9901,0.5806
248,0.99028,0.5805
249,0.99102,0.5821
250,0.99004,0.5808
251,0.99006,0.5819
252,0.99066,0.582
253,0.99104,0.581
254,0.99062,0.5821
255,0.99102,0.5829
256,0.99104,0.5821
257,0.99068,0.5812
258,0.99108,0.5812
259,0.99146,0.5841
260,0.99078,0.5819
261,0.99124,0.58
262,0.99112,0.5817
263,0.991,0.5801
264,0.99132,0.5821
265,0.99114,0.581
266,0.9919,0.5805
267,0.9916,0.5806
268,0.9902,0.5822
269,0.99178,0.5797
270,0.99152,0.5813
271,0.99094,0.5817
272,0.9917,0.5824
273,0.99162,0.5819
274,0.99092,0.5807
275,0.99188,0.5821
276,0.99144,0.5812
277,0.99128,0.5813
278,0.99144,0.581
279,0.99118,0.5816
280,0.99092,0.5805
281,0.9914,0.5803
282,0.99232,0.5813
283,0.99122,0.5803
284,0.99186,0.5811
285,0.99054,0.5814
286,0.99154,0.5813
287,0.99124,0.5808
288,0.99262,0.58
289,0.9917,0.581
290,0.99244,0.581
291,0.9919,0.5824
292,0.99184,0.5802
293,0.99152,0.5813
294,0.99158,0.5802
295,0.99172,0.5816
296,0.99232,0.5806
297,0.99208,0.5812
298,0.99176,0.5809
299,0.99186,0.5809
